id,text,label
0,Publicada en el Periódico Oficial “Gaceta del Gobierno” el 24 de mayo de 2024. Sin reforma.,
1,"DELFINA GÓMEZ ÁLVAREZ, Gobernadora Constitucional del Estado Libre y Soberano de México, a sus habitantes sabed:",
2,"Que la Legislatura del Estado, ha tenido a bien aprobar lo siguiente:",
3,La H. “LXI” Legislatura del Estado de México decreta:,
4,"ARTÍCULO ÚNICO. Se expide la Ley de Fomento a las Actividades de las Organizaciones de la Sociedad Civil del Estado de México, para quedar como sigue:",
5,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO,
6,CAPÍTULO I DE LAS DISPOSICIONES GENERALES,
7,"Artículo 1. La presente Ley es de orden público e interés social, y tiene por objeto fomentar y fortalecer las actividades realizadas por las organizaciones de la sociedad civil; así como establecer las atribuciones de las dependencias y entidades del sector central y auxiliar del Estado relacionadas con su fomento, a fin de contribuir al desarrollo humano y sostenible de la población mexiquense.",
8,"Artículo 2. Para efectos de esta Ley, se entenderá por:",
9,I. Actividades de Fomento: A las actividades lícitas y sin fines de lucro que realizan las Organizaciones de la Sociedad Civil de conformidad con el artículo 5 de la presente Ley;,
10,"II. Autobeneficio: Al bien, utilidad o provecho que obtengan los miembros de una Organización de la Sociedad Civil o sus familiares hasta el cuarto grado, mediante la utilización de los apoyos y estímulos públicos que le hayan sido otorgados para el cumplimiento de los fines de la Organización;",
11,"III. Beneficio Mutuo: Al bien, utilidad o provecho provenientes de apoyos y estímulos públicos que reciban, de manera conjunta, las personas integrantes de una o varias organizaciones y las personas servidoras públicas responsables, derivadas de la existencia o actividad de la misma;",
12,IV. Comisión: A la Comisión de Fomento a las Actividades de las Organizaciones de la Sociedad Civil;,
13,"V. Dependencias: A las Dependencias y unidades administrativas que dependan directamente de la persona titular del Poder Ejecutivo, contempladas en la Ley Orgánica de la Administración Pública del Estado de México;",
14,"VI. Entidades: A los organismos descentralizados, empresas de participación estatal y fideicomisos públicos considerados como organismos auxiliares del Poder Ejecutivo y que forman parte de la Administración Pública del Estado;",
15,VII. Ley: A la Ley de Fomento a las Actividades de las Organizaciones de la Sociedad Civil del Estado de México;,
16,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO 1,
17,"VIII. Organizaciones: A las asociaciones, agrupaciones y organizaciones legalmente constituidas que realicen alguna de las Actividades de Fomento y que no persigan fines de lucro, ni de proselitismo partidista, político electoral o religioso;",
18,"IX. Redes: A las organizaciones que se apoyan entre sí, para el cumplimiento de su objeto social, fortalecimiento e incidencia en las políticas públicas a través de la colaboración y servicios de apoyos;",
19,X. Registro: Al Registro Estatal de Organizaciones;,
20,"XI. Secretaría: A la Secretaría General de Gobierno del Estado de México, y",
21,XII. Subsecretaría: A la Subsecretaría de Desarrollo Municipal de la Secretaría General de Gobierno del Estado de México.,
22,"Artículo 3. Las Dependencias, Entidades y municipios, en el ámbito de sus respectivas competencias, deberán promover el fomento y fortalecimiento de las actividades que refiere esta Ley, guardando respeto absoluto a la autonomía de las Organizaciones.",
23,CAPÍTULO II DE LAS ORGANIZACIONES,
24,"Artículo 4. Las Organizaciones podrán acogerse o disfrutar de los beneficios, apoyos o estímulos que se establezcan en esta Ley, de conformidad con los requisitos y disposiciones jurídicas aplicables.",
25,"Los beneficios, estímulos y apoyos a que hace mención el párrafo anterior podrán ser en especie, capacitaciones, asesorías, servicios, difusión y acciones de concertación, coordinación y vinculación. Tratándose de apoyos económicos, se sujetará a lo dispuesto a las reglas y lineamientos de los programas y acciones que establezcan las respectivas Dependencias, Entidades o municipios, en sus ámbitos de competencia.",
26,"Las Organizaciones estarán sujetas a la regulación, vigilancia y obligaciones que establezcan las disposiciones jurídicas aplicables, y podrán, de no contravenir disposición alguna, participar en los beneficios contenidos en esta Ley, siempre y cuando cumplan con los requisitos que se establezcan al respecto.",
27,"Artículo 5. Para efectos de esta Ley, las Actividades de Fomento de las Organizaciones objeto de fomento son las siguientes:",
28,I. Asistencia social y combate a la pobreza;,
29,II. Apoyo a la alimentación y la mejora de la nutrición;,
30,III. Cívicas y de participación ciudadana;,
31,"IV. Asesoría, asistencia y representación jurídica;",
32,"V. Apoyo al desarrollo de los pueblos y comunidades indígenas y afromexicanas, con enfoque multicultural e intercultural;",
33,"VI. Promoción de la igualdad sustantiva entre géneros, y acciones que fomenten la prevención, sanción, atención y erradicación de las violencias contra las mujeres;",
34,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO 2,
35,VII. Acciones que fomenten la inclusión y reducción de las desigualdades y el bienestar;,
36,"VIII. Aportación de servicios de salud y bienestar individual, así como de atención a personas con discapacidad, personas adultas mayores o población en situación de vulnerabilidad;",
37,IX. Fomento al desarrollo regional y comunitario sostenible;,
38,"X. Fomento a la defensa, promoción y protección de los derechos humanos, así como los derechos de niñas, niños y adolescentes;",
39,"XI. Promoción y fomento de la cultura, el deporte y fomento del desarrollo pleno e integral de las juventudes;",
40,"XII. Fomentar y coadyuvar en los servicios de salud, seguridad social, cuestiones sanitarias y de saneamiento, salud;",
41,XIII. Fomento y promoción de acciones a favor del desarrollo urbano y el ordenamiento territorial;,
42,"XIV. Apoyo y fomento al aprovechamiento sostenible de los recursos naturales, la protección del ambiente, la flora, los cuerpos de agua y los ecosistemas terrestres, la preservación y restauración del equilibrio ecológico, detener la perdida de la biodiversidad y medidas para combatir el cambio climático;",
43,"XV. Promoción y fomento de educación de calidad, inclusiva, equitativa, cultural, artística, científica, tecnológica y deportiva, así como actividades académicas y de investigación;",
44,"XVI. Impulso y fomento al trabajo digno, pleno y productivo, a la inclusión laboral de la juventud y personas becarias, el autoempleo, el fomento a la micro, pequeña o mediana empresa, y los derechos sindicales;",
45,"XVII. Fomento al crecimiento económico sostenido, a través de la industria, la innovación y la infraestructura, así como la promoción y defensa de los derechos de los consumidores y usuarios;",
46,"XVIII. Promoción de la participación, acción y solidaridad de la población en acciones de protección civil;",
47,"XIX. Prestar servicios de apoyo para la creación, fortalecimiento y desarrollo de Organizaciones, que realicen actividades y alianzas objeto de fomento de esta Ley;",
48,"XX. Defensa, rescate y protección de animales y especies protegidas, así como las obligaciones del ser humano para con los mismos;",
49,"XXI. Promoción de la justicia, y el fortalecimiento del tejido social, la cultura de paz, la prevención social de la violencia, la delincuencia y la seguridad ciudadana;",
50,"XXII. Promover acciones que fomenten el desarrollo humano y social sostenible, así como el bienestar de personas y comunidades, y",
51,"XXIII. Las demás que estén vinculadas con cualquiera de las anteriores, las que se establezcan en el Reglamento y en las disposiciones jurídicas aplicables.",
52,LEY DE FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL DEL ESTADO DE MÉXICO 3,
53,Las anteriores Actividades de Fomento deberán ser realizadas sin interferir o invadir competencias de las Dependencias o Entidades de la administración pública estatal o municipal.,
54,"Artículo 6. No son objeto de la presente Ley las Organizaciones que realicen actividades con fines de lucro, político-electorales o de proselitismo partidista, las consideradas como complementarias u operativas del gobierno y las asociaciones religiosas.",
55,"Para efectos el artículo anterior, si se denuncia y comprueba que alguna Organización objeto de esta Ley, realiza actividades con fines de lucro, será sancionada requiriéndose la devolución de los apoyos recibidos, de conformidad con lo previsto en la presente Ley.",
56,"Artículo 7. Las Organizaciones que constituyan una agencia, capítulo, corresponsalía o representación estatal de organizaciones nacionales o internacionales, que cumplan con lo establecido en la presente Ley, podrán gozar de los derechos que la misma establece, siempre que el destino de las actividades sujetas al fomento y fortalecimiento sea preferentemente en beneficio de la población del Estado de México. Para efectos de lo dispuesto en este artículo, sus órganos de administración y representación deberán estar integradas mayoritariamente por ciudadanos mexicanos e inscribirse en el Registro.",
